id,station_name,city,state,zip,latitude,longitude,ev_connector_types,ev_network,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,date_last_confirmed
39874,Palm Springs Nissan,Cathedral City,CA,92234,33.78414,-116.471,"CHADEMO,J1772",Non-Networked,1,0,1,2024-02-12
39875,Cerritos Nissan,Cerritos,CA,90703,33.861544,-118.100471,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,1,2024-02-12
39876,Chico Nissan,Chico,CA,95926,39.75674,-121.84372,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,3,2024-02-12
39877,Puente Hills Nissan,City of Industry,CA,91748,33.997621,-117.928216,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,2,2024-02-12
39878,Lithia Nissan - Clovis,Clovis,CA,93612,36.83692,-119.71718,J1772,Non-Networked,0,0,1,2024-02-12
39880,Autocom Nissan - Concord,Concord,CA,94520,37.980192,-122.050128,J1772,Non-Networked,0,0,1,2024-02-12
39881,Larry H Miller Nissan,Corona,CA,92882,33.88319,-117.61565,"CHADEMO,J1772",Non-Networked,1,0,2,2024-02-12
39882,Orange Coast Nissan,Costa Mesa,CA,92626,33.675397,-117.918684,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,2,2024-02-12
39883,Hanlees Nissan,Davis,CA,95618,38.55252,-121.69156,"CHADEMO,J1772",Non-Networked,1,0,1,2024-02-12
39884,Downey Nissan,Downey,CA,90241,33.9473,-118.151166,"J1772,J1772COMBO",Non-Networked,2,0,4,2024-02-12
39885,Nissan of Duarte,Duarte,CA,91010,34.136553,-117.975944,J1772,Non-Networked,0,0,1,2024-02-12
39886,Mossy Nissan - El Cajon,El Cajon,CA,92020,32.795896,-116.976156,J1772,Non-Networked,0,0,1,2024-02-12
39887,Ross Nissan El Monte,El Monte,CA,91731,34.06964,-118.02703,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,2,2024-02-12
39888,Nissan of Elk Grove,Elk Grove,CA,95757,38.40209,-121.38584,"CHADEMO,J1772",Non-Networked,2,0,4,2024-02-12
39889,Mossy Nissan - Escondido,Escondido,CA,92029,33.116492,-117.106837,J1772,Non-Networked,0,0,1,2024-02-12
39890,McCrea Nissan,Eureka,CA,95501,40.8007,-124.16421,J1772,Non-Networked,0,0,1,2024-02-12
39891,Future Nissan of Folsom,Folsom,CA,95630,38.63424,-121.20423,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,3,2024-02-12
39892,Fontana Nissan,Fontana,CA,92336,34.13534,-117.44573,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,2,2024-02-12
39893,Premier Nissan of Fremont,Fremont,CA,94538,37.49864,-121.9734,"CHADEMO,J1772",Non-Networked,1,0,2,2024-02-12
39894,Lithia Nissan - Fresno,Fresno,CA,93710,36.818622,-119.789796,J1772,Non-Networked,0,0,1,2024-02-12
39895,Garden Grove Nissan,Garden Grove,CA,92844,33.766376,-117.968337,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,2,2024-02-12
39896,Gardena Nissan,Gardena,CA,90247,33.889201,-118.307028,J1772,Non-Networked,0,0,1,2024-02-12
39897,South County Nissan,Gilroy,CA,95020,36.996869,-121.558573,J1772,Non-Networked,0,0,1,2024-02-12
39898,Glendale Nissan,Glendale,CA,91204,34.13714,-118.25515,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,1,2024-02-12
39899,Santa Barbara Nissan,Goleta,CA,93117,34.43427,-119.820934,"CHADEMO,J1772",Non-Networked,1,0,3,2024-02-12
39901,Hayward Nissan,Hayward,CA,94544,37.662305,-122.075178,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,2,2024-02-12
39902,Pedder Nissan,Hemet,CA,92545,33.741163,-117.031718,J1772,Non-Networked,0,0,1,2024-02-12
39903,Surf City Nissan,Huntington Beach,CA,92647,33.71069,-117.989861,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,2,2024-02-12
39904,Nissan of Irvine,Irvine,CA,92618,33.63255,-117.72335,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,2,2024-02-12
39905,Torre Nissan,La Quinta,CA,92253,33.70693,-116.28364,"CHADEMO,J1772",Non-Networked,1,0,2,2024-02-12
39906,Nissan of Downtown Los Angeles,Los Angeles,CA,90015,34.035168,-118.273229,"CHADEMO,J1772",Non-Networked,1,0,1,2024-02-12
39907,Universal City Nissan,Los Angeles,CA,90068,34.133446,-118.356601,"CHADEMO,J1772",Non-Networked,1,0,2,2024-02-12
39908,Razzari Nissan,Merced,CA,95340,37.30584,-120.50229,J1772,Non-Networked,0,0,1,2024-02-12
39910,Nissan of Mission Hills,Mission Hills,CA,91345,34.269809,-118.466606,J1772,Non-Networked,0,0,1,2024-02-12
39911,Central Valley Nissan,Modesto,CA,95356,37.705119,-120.99471,J1772,Non-Networked,0,0,1,2024-02-12
39912,Metro Nissan of Montclair,Montclair,CA,91763,34.082404,-117.694876,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,1,2024-02-12
39913,Metro Nissan of Redlands,Redlands,CA,92374,34.06531,-117.21201,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,3,2024-02-12
39914,Napa Nissan,Napa,CA,94559,38.2927,-122.27752,J1772,Non-Networked,0,0,1,2024-02-12
39915,Mossy Nissan,National City,CA,91950,32.659001,-117.100836,J1772,Non-Networked,0,0,1,2024-02-12
