city,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
Davis,2023-03-20,10.5,7.0,14.0,0.0,,,14.0,,1011.6,
Davis,2023-03-21,9.2,8.0,12.0,38.5,,,12.9,,998.6,
Davis,2023-03-22,10.0,8.0,13.0,5.5,,,10.9,,1011.8,
Davis,2023-03-23,10.2,5.0,16.0,0.0,,,8.0,,1022.2,
Davis,2023-03-24,9.2,2.0,14.0,0.0,,,4.9,,1028.8,
Davis,2023-03-25,9.6,5.0,15.0,0.0,,,13.4,,1025.3,
Davis,2023-03-26,8.4,3.0,14.0,0.0,,,8.9,,1024.5,
Davis,2023-03-27,8.4,0.0,16.0,0.0,,,7.2,,1022.2,
Davis,2023-03-28,8.4,5.0,10.0,12.2,,,13.2,,1013.1,
Davis,2023-03-29,7.2,5.0,10.0,18.1,,,11.5,,1010.7,
Davis,2023-03-30,9.3,4.0,15.0,0.0,,,9.2,,1015.3,
Davis,2023-03-31,9.7,4.0,15.0,0.0,,,8.8,,1023.0,
Davis,2023-04-01,11.2,4.0,18.0,0.0,,,5.5,,1022.8,
Davis,2023-04-02,11.8,8.0,17.0,0.0,,,13.7,,1018.7,
Davis,2023-04-03,9.0,2.0,14.0,0.0,,,10.1,,1018.9,
Davis,2023-04-04,8.6,3.0,15.0,0.0,,,9.0,,1022.5,
Davis,2023-04-05,9.2,3.0,16.0,0.0,,,3.5,,1022.5,
Davis,2023-04-06,11.0,4.0,17.0,1.0,,,9.1,,1019.4,
Davis,2023-04-07,11.8,10.0,14.1,3.9,,,12.2,,1017.2,
Davis,2023-04-08,12.6,6.0,19.0,0.0,,,2.6,,1019.6,
Davis,2023-04-09,15.3,8.0,23.0,0.0,,,4.6,,1021.2,
Davis,2023-04-10,16.7,9.0,25.0,0.0,,,6.2,,1017.0,
Davis,2023-04-11,16.4,10.0,24.0,0.0,,,10.2,,1016.6,
Davis,2023-04-12,11.5,5.0,18.0,0.0,,,8.5,,1013.2,
Davis,2023-04-13,13.6,9.0,20.0,0.0,,,21.8,,1011.2,
Davis,2023-04-14,11.7,4.0,19.0,0.0,,,6.1,,1013.9,
Davis,2023-04-15,12.5,4.0,21.0,0.0,,,7.0,,1019.1,
Davis,2023-04-16,12.7,5.8,20.0,0.0,,,12.4,,1018.8,
Davis,2023-04-17,12.2,6.0,17.0,0.0,,,10.6,,1015.2,
Davis,2023-04-18,11.2,5.0,16.0,0.1,,,3.5,,1017.8,
Davis,2023-04-19,11.1,4.0,18.0,0.0,,,3.6,,1022.8,
Davis,2023-04-20,14.2,6.0,22.0,0.0,,,5.4,,1025.9,
Davis,2023-04-21,19.5,12.0,28.0,0.0,,,10.5,,1023.5,
Davis,2023-04-22,21.8,17.0,28.0,0.0,,,11.6,,1014.6,
Davis,2023-04-23,17.9,10.0,27.0,0.0,,,3.9,,1011.2,
Davis,2023-04-24,17.2,9.0,26.0,0.0,,,1.9,,1013.4,
Davis,2023-04-25,19.5,9.0,29.0,0.0,,,11.6,,1013.1,
Davis,2023-04-26,20.2,10.0,30.8,0.0,,,7.4,,1013.8,
Davis,2023-04-27,21.4,12.0,32.0,0.0,,,0.8,,1012.7,
Davis,2023-04-28,21.1,12.0,31.0,0.0,,,2.4,,1012.8,
Davis,2023-04-29,19.3,10.0,29.0,0.0,,,4.3,,1014.5,
Davis,2023-04-30,16.0,9.0,24.0,0.0,,,13.0,,1010.7,
Davis,2023-05-01,11.0,8.0,14.0,0.3,,,8.0,,1008.5,
Davis,2023-05-02,10.8,8.0,15.0,6.1,,,12.5,,1009.5,
Davis,2023-05-03,12.4,8.0,17.0,0.4,,,3.8,,1010.9,
Davis,2023-05-04,12.6,9.0,16.0,3.9,,,6.3,,1012.0,
Davis,2023-05-05,12.7,7.0,18.0,1.3,,,12.9,,1016.9,
Davis,2023-05-06,13.0,10.0,17.0,11.0,,,11.9,,1018.5,
Davis,2023-05-07,13.0,6.0,20.0,0.0,,,8.3,,1019.0,
Davis,2023-05-08,13.3,8.0,20.0,0.2,,,11.4,,1018.2,
Davis,2023-05-09,14.8,8.0,22.0,0.0,,,4.1,,1015.6,
Davis,2023-05-10,14.6,8.0,21.0,0.0,,,12.2,,1015.9,
Davis,2023-05-11,15.4,7.0,24.0,1.0,,,4.1,,1016.7,
Davis,2023-05-12,19.2,9.0,30.0,0.0,,,3.7,,1015.0,
Davis,2023-05-13,23.2,12.7,35.9,0.0,,,9.2,,1010.6,
Davis,2023-05-14,22.7,15.0,31.0,0.0,,,5.0,,1008.9,
Davis,2023-05-15,20.5,12.0,29.0,0.0,,,6.0,,1016.2,
Davis,2023-05-16,21.8,10.0,33.0,0.0,,,2.5,,1015.2,
Davis,2023-05-17,21.4,13.0,32.0,0.0,,,3.3,,1011.9,
Davis,2023-05-18,19.6,10.0,30.0,0.0,,,3.2,,1011.5,
Davis,2023-05-19,20.3,12.0,30.0,0.0,,,5.1,,1014.0,
Davis,2023-05-20,18.5,10.0,27.0,0.0,,,6.3,,1016.2,
Davis,2023-05-21,19.6,10.0,30.7,0.0,,,6.4,,1014.4,
Davis,2023-05-22,21.7,12.0,32.0,0.0,,,6.0,,1010.5,
Davis,2023-05-23,18.0,13.0,25.0,0.0,,,10.2,,1008.7,
Davis,2023-05-24,16.6,11.0,23.0,0.0,,,15.7,,1010.9,
Davis,2023-05-25,16.5,9.0,23.0,0.0,,,13.9,,1009.7,
Davis,2023-05-26,17.1,12.0,24.0,0.0,,,10.0,,1012.0,
Davis,2023-05-27,17.5,11.0,25.0,0.0,,,9.9,,1012.6,
Davis,2023-05-28,17.3,13.0,24.0,0.0,,,6.4,,1011.1,
Davis,2023-05-29,17.5,11.0,25.0,0.0,,,10.6,,1011.8,
Davis,2023-05-30,17.6,11.3,24.8,0.0,,,17.3,,1012.4,
Davis,2023-05-31,17.4,11.0,25.0,0.0,,,8.9,,1010.5,
Davis,2023-06-01,17.9,9.0,27.0,0.0,,,6.6,,1010.3,
Davis,2023-06-02,19.8,10.0,29.0,0.0,,,1.5,,1013.2,
Davis,2023-06-03,21.8,12.0,32.0,0.0,,,1.9,,1011.4,
Davis,2023-06-04,23.1,13.0,34.0,0.0,,,2.6,,1008.5,
Davis,2023-06-05,20.3,14.0,29.0,0.0,,,6.8,,1006.0,
Davis,2023-06-06,17.9,14.0,23.0,0.0,,,10.3,,1008.7,
Davis,2023-06-07,18.9,13.0,25.0,0.0,,,9.0,,1012.5,
Davis,2023-06-08,19.2,13.0,27.0,0.0,,,10.7,,1015.2,
Davis,2023-06-09,18.8,12.0,27.0,0.0,,,7.7,,1014.2,
Davis,2023-06-10,17.7,9.0,26.0,0.0,,,5.5,,1011.1,
Davis,2023-06-11,18.8,12.0,27.0,0.0,,,9.4,,1008.8,
Davis,2023-06-12,18.9,15.0,26.0,0.0,,,10.3,,1013.6,
Davis,2023-06-13,20.1,13.0,27.0,0.0,,,7.7,,1014.3,
Davis,2023-06-14,20.6,13.0,29.0,0.0,,,5.8,,1010.8,
Davis,2023-06-15,22.2,13.0,33.0,0.0,,,2.3,,1009.8,
Davis,2023-06-16,22.8,13.9,30.3,0.0,,,13.3,,1011.7,
Davis,2023-06-17,20.9,13.0,29.0,0.0,,,9.1,,1012.1,
Davis,2023-06-18,20.6,14.0,29.0,0.0,,,13.1,,1008.8,
Davis,2023-06-19,17.5,10.0,23.0,0.0,,,12.0,,1013.3,
Davis,2023-06-20,18.2,9.0,25.0,0.0,,,6.0,,1018.3,
Davis,2023-06-21,19.5,9.0,28.0,0.0,,,5.9,,1015.1,
Davis,2023-06-22,17.3,10.0,25.0,0.0,,,11.8,,1011.5,
Davis,2023-06-23,17.8,11.0,25.0,0.0,,,9.9,,1015.5,
Davis,2023-06-24,18.8,12.0,27.6,0.0,,,12.4,,1015.6,
Davis,2023-06-25,17.7,11.7,25.0,0.0,,,12.5,,1016.2,
Davis,2023-06-26,18.6,10.0,28.0,0.0,,,7.6,,1013.6,
Davis,2023-06-27,19.6,12.0,29.0,0.0,,,6.5,,1010.8,
Davis,2023-06-28,20.4,12.0,30.0,0.0,,,7.8,,1010.4,
Davis,2023-06-29,23.3,13.0,35.0,0.0,,,1.8,,1011.1,
Davis,2023-06-30,26.3,15.0,38.0,0.0,,,1.4,,1010.7,
Davis,2023-07-01,28.9,17.0,40.0,0.0,,,1.2,,1010.5,
Davis,2023-07-02,29.2,18.0,40.0,0.0,,,3.0,,1009.4,
Davis,2023-07-03,26.0,17.2,35.6,0.0,,,15.7,,1008.9,
Davis,2023-07-04,21.5,13.0,31.0,0.0,,,6.3,,1010.1,
Davis,2023-07-05,20.2,13.0,29.0,0.0,,,8.1,,1011.2,
Davis,2023-07-06,19.3,11.0,28.0,0.0,,,8.3,,1010.8,
Davis,2023-07-07,19.5,13.0,28.0,0.0,,,9.8,,1009.5,
Davis,2023-07-08,20.0,11.0,30.7,0.0,,,15.6,,1009.7,
Davis,2023-07-09,18.3,10.3,27.8,0.0,,,18.1,,1011.9,
Davis,2023-07-10,21.5,11.1,33.2,0.0,,,11.2,,1013.0,
Davis,2023-07-11,25.2,14.1,36.7,0.0,,,11.5,,1012.4,
Davis,2023-07-12,24.4,14.2,34.9,0.0,,,15.1,,1012.8,
Davis,2023-07-13,25.5,14.6,37.1,0.0,,,11.4,,1012.8,
Davis,2023-07-14,27.5,15.5,39.4,0.0,,,12.0,,1011.1,
Davis,2023-07-15,29.4,17.1,42.5,0.0,,,9.5,,1009.1,
Davis,2023-07-16,30.3,18.7,43.7,0.0,,,11.5,,1007.8,
Davis,2023-07-17,28.2,19.2,38.6,0.0,,,15.4,,1008.6,
Davis,2023-07-18,23.5,15.5,33.6,0.0,,,18.3,,1010.7,
Davis,2023-07-19,23.2,13.1,35.0,0.0,,,14.6,,1013.2,
Davis,2023-07-20,26.2,14.1,39.4,0.0,,,10.2,,1013.2,
Davis,2023-07-21,29.5,17.6,41.9,0.0,,,10.2,,1010.4,
Davis,2023-07-22,30.9,19.3,42.8,0.0,,,10.3,,1007.8,
Davis,2023-07-23,28.4,20.2,38.8,0.0,,,14.7,,1008.3,
Davis,2023-07-24,25.0,15.1,36.2,0.0,,,16.3,,1013.5,
Davis,2023-07-25,26.1,14.9,37.5,0.0,,,11.5,,1014.2,
Davis,2023-07-26,24.5,16.4,34.6,0.0,,,16.8,,1012.2,
Davis,2023-07-27,22.8,14.5,32.7,0.0,,,17.0,,1012.5,
Davis,2023-07-28,23.9,13.7,35.7,0.0,,,14.7,,1013.2,
Davis,2023-07-29,24.4,14.1,36.1,0.0,,,15.4,,1014.3,
Davis,2023-07-30,24.7,13.9,36.6,0.0,,,13.2,,1013.2,
Davis,2023-07-31,24.5,14.9,36.0,0.0,,,13.3,,1012.6,
